"N","Город","Зарплата.в.месяц","Изменение.зарплаты.за.12.месяцев","Должность","exp","current_job_exp","Язык.программирования","Специализация","Возраст","Пол","Образование","Университет","Еще.студент","Уровень.английского","Размер.компании","Тип.компании","Предметная.область"
2,"Uzhorod",18000,1,"System Architect",10,10,"Ruby/Rails",,67,"female","Еще студент","КНУСА","True","элементарный","свыше 1000 человек","Продуктовая","Adtech, Agriculture, AR/VR"
3,"Kharkiv",18000,80,"Senior Software Engineer",8,8,"Other",,29,"female","Высшее","ХНУРЭ","False","выше среднего","свыше 1000 человек","Аутсорсинговая","Internet of Things, Media, Mobile"
4,"Odessa",17000,-20,"QA Engineer",3,2,,"Manual QA",26,"female","Высшее","ОНАС","False","выше среднего","до 50 человек","Стартап","Mobile"
5,"Dnipro",14250,1250,"Team/Technical Lead",10,4,"C#/.NET",,74,"female","Два высших","КНУ им. Шевченко","False","продвинутый","до 200 человек","Аутсорсинговая","E-commerce, Fintech, Hardware"
6,"Kyiv",14000,1000,"Senior Software Engineer",7,1,"Python",,25,"male","Незаконченное высшее","НАУ","False","продвинутый","до 10 человек","Стартап","Big Data, Blockchain, Fintech"
7,"Lviv",13000,15,"HTML Coder",3,3,,,28,"male","Высшее","ЛНУ им. Франко","False","элементарный","до 50 человек","Другая","Інша"
8,"Lviv",12000,-100,"Support",3,3,,,25,"female","Высшее","Lvivская Политехника","False","выше среднего","до 1000 человек","Аутсорсинговая","Інша"
9,"Kyiv",12000,3000,"Senior Software Engineer",10,0,"Kotlin",,36,"male","Высшее","НТУУ «КПИ»","False","выше среднего","до 50 человек","Стартап","Mobile"
10,"Kyiv",12000,4000,"Director of Engineering / Program Director",7,2,,,30,"male","Высшее","НТУУ «КПИ»","False","продвинутый","до 200 человек","Продуктовая","E-commerce, Media"
11,"Lviv",11000,0,"Team/Technical Lead",8,1,"Java",,28,"male","Высшее","НУК","False","выше среднего","до 10 человек","Аутсорсинговая","Інша"
12,"Kyiv",11000,3000,"Director of Engineering / Program Director",10,3,,,47,"male","Высшее","Other вуз","False","выше среднего","до 200 человек","Продуктовая","Big Data, Data Science, High Load Systems"
13,"Kyiv",10300,0,"Senior Software Engineer",9,3,"PHP",,29,"male","Высшее","КНУ им. Шевченко","False","выше среднего","до 10 человек","Продуктовая","E-commerce"
14,"Kyiv",10000,0,"Team/Technical Lead",10,1,"Java",,38,"male","Высшее",,"False","средний","до 200 человек","Продуктовая","High Load Systems"
15,"Kyiv",10000,4000,"Director of Engineering / Program Director",7,6,,,34,"female","Кандидат","КНУ им. Шевченко","False","продвинутый","до 1000 человек","Аутсорсинговая","Cloud Computing"
16,"Kyiv",10000,-1800,"Director of Engineering / Program Director",10,1,,,37,"male","Высшее","НТУУ «КПИ»","False","продвинутый","до 50 человек","Продуктовая","Hardware, Internet of Things, Machine Learning"
17,"Lviv",10000,0,"Director of Engineering / Program Director",10,10,,,41,"male","Два высших","Lvivская Политехника","False","продвинутый","до 1000 человек","Аутсорсинговая","Manufacturing"
18,"Lviv",10000,0,"QA Tech Lead",3,1,,"Automation QA",23,"male","Высшее",,"False","ниже среднего","до 10 человек","Продуктовая","Manufacturing, Інша"
19,"Kyiv",9950,3000,"Director of Engineering / Program Director",10,"0.5",,,35,"male","Высшее","НТУУ «КПИ»","False","продвинутый","до 50 человек","Стартап","Інша"
20,"Kharkiv",9500,0,"Director of Engineering / Program Director",10,9,,,35,"male","Высшее","ХНУРЭ","False","продвинутый","до 200 человек","Аутсорсинговая","E-commerce, Fintech, Internet of Things"
21,"Lviv",9200,1600,"System Architect",10,3,"C#/.NET",,27,"male","Техникум / Колледж","Other вуз","False","выше среднего","свыше 1000 человек","Аутсорсинговая","Automotive, Cloud Computing, Fintech"
22,"Kyiv",9000,500,"Director of Engineering / Program Director",10,9,,,38,"male","Высшее","НТУУ «КПИ»","False","продвинутый","до 50 человек","Аутсорсинговая","Embedded, Telecom"
23,"Kyiv",9000,2000,"DevOps",10,"0.5",,,30,"male","Высшее",,"False","продвинутый","до 50 человек","Продуктовая","Інша"
24,"Kyiv",9000,2000,"System Architect",6,4,"Python",,32,"male","Кандидат","Other вуз","False","продвинутый","свыше 1000 человек","Другая","Cloud Computing"
25,"Kyiv",9000,1000,"Director of Engineering / Program Director",10,4,,,34,"male","Среднее","НТУУ «КПИ»","False","выше среднего","до 200 человек","Продуктовая","ERP"
26,"Kyiv",9000,3000,"Product Manager",3,1,,,20,"male","Высшее","НАУ","False","продвинутый","до 10 человек","Продуктовая","Blockchain"
